zip_code,county_fips_code
90001,6037
90002,6037
90003,6037
90004,6037
90005,6037
90006,6037
90007,6037
90008,6037
90009,6037
90010,6037
90011,6037
90012,6037
90013,6037
90014,6037
90015,6037
90016,6037
90017,6037
90018,6037
90019,6037
90020,6037
90021,6037
90022,6037
90023,6037
90024,6037
90025,6037
90026,6037
90027,6037
90028,6037
90029,6037
90030,6037
90031,6037
90032,6037
90033,6037
90034,6037
90035,6037
90036,6037
90037,6037
90038,6037
90039,6037
90040,6037
90041,6037
90042,6037
90043,6037
90044,6037
90045,6037
90046,6037
90047,6037
90048,6037
90049,6037
90050,6037
90051,6037
90052,6037
90053,6037
90054,6037
90055,6037
90056,6037
90057,6037
90058,6037
90059,6037
90060,6037
90061,6037
90062,6037
90063,6037
90064,6037
90065,6037
90066,6037
90067,6037
90068,6037
90069,6037
90070,6037
90071,6037
90072,6037
90073,6037
90074,6037
90075,6037
90076,6037
90077,6037
90078,6037
90079,6037
90081,6037
90082,6037
90083,6037
90084,6037
90086,6037
90087,6037
90089,6037
90090,6037
90091,6037
90093,6037
90094,6037
90095,6037
90099,6037
90201,6037
90202,6037
90209,6037
90210,6037
90211,6037
90212,6037
90213,6037
90220,6037
90221,6037
90222,6037
90223,6037
90224,6037
90230,6037
90231,6037
90232,6037
90239,6037
90240,6037
90241,6037
90242,6037
90245,6037
90247,6037
90248,6037
90249,6037
90250,6037
90251,6037
90254,6037
90255,6037
90260,6037
90261,6037
90262,6037
90263,6037
90264,6037
90265,6037
90265,6111
90266,6037
90267,6037
90270,6037
90272,6037
90274,6037
90275,6037
90277,6037
90278,6037
90280,6037
90290,6037
90291,6037
90292,6037
90293,6037
90294,6037
90295,6037
90296,6037
90301,6037
90302,6037
90303,6037
90304,6037
90305,6037
90306,6037
90307,6037
90308,6037
90309,6037
90310,6037
90401,6037
90402,6037
90403,6037
90404,6037
90405,6037
90406,6037
90408,6037
90409,6037
90501,6037
90502,6037
90503,6037
90504,6037
90505,6037
90506,6037
90507,6037
90508,6037
90509,6037
90510,6037
90601,6037
90602,6037
90603,6037
90604,6037
90605,6037
90606,6037
90607,6037
90608,6037
90609,6037
90610,6037
90620,6059
90621,6059
90622,6059
90623,6037
90623,6059
90624,6059
90630,6037
90630,6059
90631,6037
90631,6059
90632,6059
90633,6059
90637,6037
90638,6037
90638,6059
90639,6037
90640,6037
90650,6037
90651,6037
90652,6037
90660,6037
90661,6037
90662,6037
90670,6037
90671,6037
90680,6059
90701,6037
90702,6037
90703,6037
90704,6037
90706,6037
90707,6037
90710,6037
90711,6037
90712,6037
90713,6037
90714,6037
90715,6037
90716,6037
90717,6037
90720,6059
90721,6059
90723,6037
90731,6037
90732,6037
90733,6037
90734,6037
90740,6059
90742,6059
90743,6059
90744,6037
90745,6037
90746,6037
90747,6037
90748,6037
90749,6037
90755,6037
90801,6037
90802,6037
90803,6037
90804,6037
90805,6037
90806,6037
90807,6037
90808,6037
90808,6059
90809,6037
90810,6037
90813,6037
90814,6037
90815,6037
90815,6059
90822,6037
90831,6037
90832,6037
90833,6037
90840,6037
90844,6037
90846,6037
90853,6037
90895,6037
90899,6037
91001,6037
91003,6037
91006,6037
91007,6037
91008,6037
91009,6037
91010,6037
91011,6037
91012,6037
91016,6037
91017,6037
91020,6037
91021,6037
91023,6037
91024,6037
91025,6037
91030,6037
91031,6037
91040,6037
91041,6037
91042,6037
91043,6037
91046,6037
91066,6037
91077,6037
91101,6037
91102,6037
91103,6037
91104,6037
91105,6037
91106,6037
91107,6037
91108,6037
91109,6037
91114,6037
91115,6037
91116,6037
91117,6037
91118,6037
91121,6037
91123,6037
91124,6037
91125,6037
91126,6037
91129,6037
91182,6037
91184,6037
91185,6037
91188,6037
91189,6037
91199,6037
91201,6037
91202,6037
91203,6037
91204,6037
91205,6037
91206,6037
91207,6037
91208,6037
91209,6037
91210,6037
91214,6037
91221,6037
91222,6037
91224,6037
91225,6037
91226,6037
91301,6037
91302,6037
91303,6037
91304,6037
91304,6111
91305,6037
91306,6037
91307,6037
91307,6111
91308,6037
91309,6037
91310,6037
91311,6037
91311,6111
91313,6037
91316,6037
91319,6111
91320,6111
91321,6037
91322,6037
91324,6037
91325,6037
91326,6037
91327,6037
91328,6037
91329,6037
91330,6037
91331,6037
91333,6037
91334,6037
91335,6037
91337,6037
91340,6037
91341,6037
91342,6037
91343,6037
91344,6037
91345,6037
91346,6037
91350,6037
91351,6037
91352,6037
91353,6037
91354,6037
91355,6037
91356,6037
91357,6037
91358,6111
91359,6111
91360,6111
91361,6037
91361,6111
91362,6037
91362,6111
91364,6037
91365,6037
91367,6037
91371,6037
91372,6037
91376,6037
91377,6111
91380,6037
91381,6037
91382,6037
91383,6037
91384,6037
91385,6037
91386,6037
91387,6037
91390,6037
91392,6037
91393,6037
91394,6037
91395,6037
91396,6037
91401,6037
91402,6037
91403,6037
91404,6037
91405,6037
91406,6037
91407,6037
91408,6037
91409,6037
91411,6037
91412,6037
91413,6037
91416,6037
91423,6037
91426,6037
91436,6037
91470,6037
91482,6037
91495,6037
91496,6037
91499,6037
91501,6037
91502,6037
91503,6037
91504,6037
91505,6037
91506,6037
91507,6037
91508,6037
91510,6037
91521,6037
91522,6037
91523,6037
91601,6037
91602,6037
91603,6037
91604,6037
91605,6037
91606,6037
91607,6037
91608,6037
91609,6037
91610,6037
91611,6037
91612,6037
91614,6037
91615,6037
91617,6037
91701,6071
91702,6037
91706,6037
91708,6071
91709,6037
91709,6071
91710,6037
91710,6071
91711,6037
91714,6037
91715,6037
91716,6037
91722,6037
91723,6037
91724,6037
91729,6071
91730,6071
91731,6037
91732,6037
91733,6037
91734,6037
91737,6071
91739,6071
91740,6037
91741,6037
91743,6071
91744,6037
91745,6037
91746,6037
91747,6037
91748,6037
91750,6037
91752,6065
91752,6071
91754,6037
91755,6037
91756,6037
91759,6071
91761,6065
91761,6071
91762,6065
91762,6071
91763,6071
91764,6071
91765,6037
91766,6037
91766,6071
91767,6037
91768,6037
91769,6037
91770,6037
91771,6037
91772,6037
91773,6037
91775,6037
91776,6037
91778,6037
91780,6037
91784,6071
91785,6071
91786,6037
91786,6071
91788,6037
91789,6037
91790,6037
91791,6037
91792,6037
91793,6037
91801,6037
91802,6037
91803,6037
91804,6037
91896,6037
91899,6037
91901,6073
91902,6073
91903,6073
91905,6073
91906,6073
91908,6073
91910,6073
91911,6073
91912,6073
91913,6073
91914,6073
91915,6073
91916,6073
91917,6073
91921,6073
91931,6073
91932,6073
91933,6073
91934,6073
91935,6073
91941,6073
91942,6073
91943,6073
91944,6073
91945,6073
91946,6073
91948,6073
91950,6073
91951,6073
91962,6073
91963,6073
91976,6073
91977,6073
91978,6073
91979,6073
91980,6073
92003,6073
92004,6073
92007,6073
92008,6073
92009,6073
92010,6073
92011,6073
92013,6073
92014,6073
92018,6073
92019,6073
92020,6073
92021,6073
92022,6073
92023,6073
92024,6073
92025,6073
92026,6073
92027,6073
92028,6065
92028,6073
92029,6073
92030,6073
92033,6073
92036,6073
92037,6073
92038,6073
92039,6073
92040,6073
92046,6073
92049,6073
92051,6073
92052,6073
92054,6073
92055,6073
92056,6073
92057,6073
92058,6073
92059,6073
92060,6073
92061,6073
92064,6073
92065,6073
92066,6073
92067,6073
92068,6073
92069,6073
92070,6073
92071,6073
92072,6073
92074,6073
92075,6073
92078,6073
92079,6073
92081,6073
92082,6073
92083,6073
92084,6073
92085,6073
92086,6073
92088,6073
92091,6073
92092,6073
92093,6073
92096,6073
92101,6073
92102,6073
92103,6073
92104,6073
92105,6073
92106,6073
92107,6073
92108,6073
92109,6073
92110,6073
92111,6073
92112,6073
92113,6073
92114,6073
92115,6073
92116,6073
92117,6073
92118,6073
92119,6073
92120,6073
92121,6073
92122,6073
92123,6073
92124,6073
92126,6073
92127,6073
92128,6073
92129,6073
92130,6073
92131,6073
92132,6073
92134,6073
92135,6073
92136,6073
92137,6073
92138,6073
92139,6073
92140,6073
92142,6073
92143,6073
92145,6073
92147,6073
92149,6073
92150,6073
92152,6073
92153,6073
92154,6073
92155,6073
92158,6073
92159,6073
92160,6073
92161,6073
92163,6073
92165,6073
92166,6073
92167,6073
92168,6073
